fold,n_valid,gamma,lambda_,SSE,RMSE
4,102,1.0,100.0,777.1385058816193,0.7655568591466214
4,102,2.0,1e-06,174.78153082503022,0.3630579970465873
4,102,2.0,1e-05,174.76589993897534,0.36304176236480934
4,102,2.0,0.0001,174.61098973319278,0.36288082896186297
4,102,2.0,0.001,173.18875316581153,0.361399943872755
4,102,2.0,0.01,165.49698061274762,0.35328343576010507
4,102,2.0,0.1,163.34228074867872,0.35097610145473873
4,102,2.0,1.0,226.76644313063198,0.41354010342680964
4,102,2.0,10.0,473.75727574298236,0.5977315562866256
4,102,2.0,100.0,805.6095517323533,0.7794540920078473
4,102,4.0,1e-06,246.96802929050295,0.43156737499870773
4,102,4.0,1e-05,246.96693686549145,0.4315664205117701
4,102,4.0,0.0001,246.95607613039238,0.43155693102268644
4,102,4.0,0.001,246.85365337459714,0.4314674296125239
4,102,4.0,0.01,246.3162080527852,0.43099748213000283
4,102,4.0,0.1,253.81206535149653,0.43750635880015565
4,102,4.0,1.0,342.3091909612909,0.5080863388474907
4,102,4.0,10.0,633.4549731877812,0.6911719631505502
4,102,4.0,100.0,863.4027966847806,0.8069283306670846
5,102,0.015625,1e-06,88.27935159553911,0.25802263454259977
5,102,0.015625,1e-05,83.70376538901618,0.2512469136240143
5,102,0.015625,0.0001,121.71915724189742,0.30297563636485997
5,102,0.015625,0.001,162.3963858490756,0.349958396416675
5,102,0.015625,0.01,180.60232556039284,0.36905399176666365
5,102,0.015625,0.1,225.72941342444267,0.4125934360327942
5,102,0.015625,1.0,535.7676975867332,0.6356477305833211
5,102,0.015625,10.0,832.2672394193905,0.7922452388091896
5,102,0.015625,100.0,896.1003482219564,0.8220657624633487
5,102,0.03125,1e-06,111.06852229881393,0.2894167983749549
5,102,0.03125,1e-05,83.10675538507363,0.25034931159641244
5,102,0.03125,0.0001,92.55391820342294,0.2641956377290131
5,102,0.03125,0.001,143.00414089093147,0.32839954338997135
5,102,0.03125,0.01,171.72478049355067,0.35986923686555244
5,102,0.03125,0.1,195.89892723141708,0.3843653828520531
5,102,0.03125,1.0,419.5703647255537,0.5625105091865972
